"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","SI_02_GRANT_US_ORG_EIN","SI_02_GRANT_US_ORG_IRC_SECTION","SI_02_GRANT_US_ORG_AMT_CASH","SI_02_GRANT_US_ORG_PURPOSE","SI_02_GRANT_US_ORG_NAME_L1","SI_02_GRANT_US_ORG_ADDR_L1","SI_02_GRANT_US_ORG_ADDR_CITY","SI_02_GRANT_US_ORG_ADDR_STATE","SI_02_GRANT_US_ORG_ADDR_ZIP","SI_02_GRANT_US_ORG_AMT_NONCSH","SI_02_GRANT_US_ORG_MOV","SI_02_GRANT_US_ORG_DESC_NONCSH","SI_02_GRANT_US_ORG_ADDR_L2"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913119349302086","680110971","INTERNATIONAL DISK EQUIPMENT AND","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913119349302086_public.xml","580603146","501(C)(3)","75000","RESEARCH","GEORGIA TECH RESEARCH CORPORATION","225 NORTH AVE","ATLANTA","GA","30331",NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913119349302086","680110971","INTERNATIONAL DISK EQUIPMENT AND","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913119349302086_public.xml","946002123","CA DPT OF EDU","145000","RESEARCH","UNIVERSITY OF CALIFORNIA BERKELEY","2195 HEARST AVE ROOM 130 MC 1108","BERKELEY","CA","94720",NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913119349302086","680110971","INTERNATIONAL DISK EQUIPMENT AND","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913119349302086_public.xml","416007513","MN DPT OF EDU","145000","RESEARCH","UNIVERSITY OF MINNESOTA","200 OAK ST SE 450","MINNEAPOLIS","MN","55455",NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913119349302086","680110971","INTERNATIONAL DISK EQUIPMENT AND","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913119349302086_public.xml","950606143","CA DPT OF EDU","80000","RESEARCH","UNIVERSITY OF CALIFORNIA LOS ANGELES","405 HILGARD AVE","LOS ANGELES","CA","90095",NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913119349302086","680110971","INTERNATIONAL DISK EQUIPMENT AND","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913119349302086_public.xml","250965591","PA DPT OF EDU","60000","RESEARCH","UNIVERSITY OF PITTSBURGH","123 UNIVERSITY PL","PITTSBURGH","PA","15213",NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913119349302086","680110971","INTERNATIONAL DISK EQUIPMENT AND","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913119349302086_public.xml","237098397","501(C)(3)","65000","RESEARCH","COLORADO STATE UNIVERSITY FOUNDATION","601 S HOWES 410","FT COLLINS","CO","80521",NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913119349302086","680110971","INTERNATIONAL DISK EQUIPMENT AND","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913119349302086_public.xml","746000203","TX DPT OF EDU","100000","RESEARCH","UNIVERSITY OF TEXAS - AUSTIN","1 UNIVERSITY STATION","AUSTIN","TX","78712",NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913119349302086","680110971","INTERNATIONAL DISK EQUIPMENT AND","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913119349302086_public.xml","356002041","501(C)(3)","70000","RESEARCH","PURDUE UNIVERSITY","610 PURDUE HALL","WEST LAFAYETTE","IN","47907",NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913119349302086","680110971","INTERNATIONAL DISK EQUIPMENT AND","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913119349302086_public.xml","141340095","501(C)(3)","55000","RESEARCH","RENSSELAER POLYTECHNIC INSTITUTE","110 8TH ST","TROY","NY","12180",NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913119349302086","680110971","INTERNATIONAL DISK EQUIPMENT AND","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913119349302086_public.xml","426004224","IA DPT OF EDU","35000","RESEARCH","IOWA STATE UNIVERSITY","2505 UNIVERSITY BLVD","AMES","IA","50010",NA,NA,NA,NA
