"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","SF_03_FRGN_INDIV_GRANT_REGION","SF_03_FRGN_INDIV_GRANT_NUM_INDIV","SF_03_FRGN_INDIV_GRANT_AMT","SF_03_FRGN_INDIV_GRANT_TYPE","SF_03_FRGN_INDIV_GRANT_DISBMT"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201942119349300304","251484913","THE MINERALS METALS & MATERIALS SOCIETY","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201942119349300304_public.xml","TRAVEL ASSISTANCE","9","3075",NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201942119349300304","251484913","THE MINERALS METALS & MATERIALS SOCIETY","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201942119349300304_public.xml","CONTEST AND AWARDS","8","8701",NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201942139349301254","274289574","FEEDING THE ORPHANS INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201942139349301254_public.xml","GHANA AFRICA","1000","423240","AID TO ORPHANS","WIRE TRANSFERS"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201903039349300930","521241128","AFP FOUNDATION FOR PHILANTHROPY","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201903039349300930_public.xml","NORTH AMERICA - CANADA AND MEXICO, BUT NOT THE UNITED STATES","15","9886","SCHOLARSHIPS","CHECK"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201903039349300930","521241128","AFP FOUNDATION FOR PHILANTHROPY","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201903039349300930_public.xml","MIDDLE EAST AND NORTH AFRICA","1","599","SCHOLARSHIPS","CHECK"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201903039349300930","521241128","AFP FOUNDATION FOR PHILANTHROPY","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201903039349300930_public.xml","CENTRAL AMERICA AND THE CARIBBEAN","1","599","SCHOLARSHIPS","CHECK"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913089349300226","900855652","Go Drill International Inc","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913089349300226_public.xml","Sub-Saharan Africa","60000",NA,"Drilling",NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913089349300226","900855652","Go Drill International Inc","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913089349300226_public.xml","Sub-Saharan Africa","80000",NA,"Pump Repair",NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913089349300226","900855652","Go Drill International Inc","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913089349300226_public.xml","Sub-Saharan Africa","1000",NA,"Comm Development",NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913089349300226","900855652","Go Drill International Inc","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913089349300226_public.xml","Sub-Saharan Africa","2000",NA,"Ag Development",NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201933179349309003","731550477","SHOFAR INTERNATIONAL FOUNDATION","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201933179349309003_public.xml","MIDDLE EAST AND NORTH AFRICA","1","10000","FUNDS TO PURCHASE CAR","WIRE"
