"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","SJ_02_COMP_DTK_NAME_PERS","SJ_02_COMP_DTK_TITLE","SJ_02_COMP_DTK_BASE_ORG","SJ_02_COMP_DTK_BASE_RLTD","SJ_02_COMP_DTK_BONUS_ORG","SJ_02_COMP_DTK_BONUS_RLTD","SJ_02_COMP_DTK_OTH_ORG","SJ_02_COMP_DTK_OTH_RLTD","SJ_02_COMP_DTK_DEFERRED_ORG","SJ_02_COMP_DTK_DEFERRED_RLTD","SJ_02_COMP_DTK_BENFIT_ORG","SJ_02_COMP_DTK_BENFIT_RLTD","SJ_02_COMP_DTK_TOT_ORG","SJ_02_COMP_DTK_TOT_RLTD","SJ_02_COMP_DTK_PRIOR_990_ORG","SJ_02_COMP_DTK_PRIOR_990_RLTD"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202030949349300628","316141216","OHIO ASSOC OF ELEMENTARY SCHOOL ADM","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202030949349300628_public.xml","DR JULIE DAVIS","EXECUTIVE DIRECTOR","103590","52010","0","0","0","0","7721","42531","0","0","111311","94541","0","0"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202022269349301957","453666184","CODMAN SQUARE HEALTH AND EDUCATION","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202022269349301957_public.xml","ANTHONY K STANKIEWICZ","PRESIDENT","0","181036","0","0","0","0","0","0","0","1444","0","182480","0","0"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202022269349301957","453666184","CODMAN SQUARE HEALTH AND EDUCATION","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202022269349301957_public.xml","PHILIP SEVERIN","SECRETARY/CLERK","0","243527","0","0","0","0","0","4871","0","17022","0","265420","0","0"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202042269349301749","061161422","Hartford HealthCare Independence at Home","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202042269349301749_public.xml","Rocco Orlando MD","Secretary","0","598617","0","274050","0","146726","0","35750","0","64568","0","1119711","0","0"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202042269349301749","061161422","Hartford HealthCare Independence at Home","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202042269349301749_public.xml","Tracy Church","Chair","0","527724","0","279630","0","87657","0","19250","0","50848","0","965109","0","0"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202042269349301749","061161422","Hartford HealthCare Independence at Home","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202042269349301749_public.xml","Charles Johnson","President","0","640066","0","357729","0","88540","0","106613","0","56006","0","1248954","0","0"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202042269349301749","061161422","Hartford HealthCare Independence at Home","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202042269349301749_public.xml","Rita Parisi","SVP, Community Network","0","334314","0","143158","0","49110","0","33000","0","33030","0","592612","0","0"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202042269349301749","061161422","Hartford HealthCare Independence at Home","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202042269349301749_public.xml","David Baranik","VP, Finance","0","233595","0","71009","0","18490","0","19250","0","44254","0","386598","0","0"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202042269349301749","061161422","Hartford HealthCare Independence at Home","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202042269349301749_public.xml","Michael Nappi","VP","0","205105","0","56068","0","445","0","18213","0","24891","0","304722","0","0"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202002309349302720","521344831","NATIONAL ENDOWMENT FOR DEMOCRACY","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202002309349302720_public.xml","CARL GERSHMAN","PRESIDENT","345981","0","0","0","4944","0","35220","0","20082","0","406227","0","0","0"
