"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","F9_03_PROG_DESC","F9_03_PROG_GRANT","F9_03_PROG_EXP","F9_03_PROG_EXP.1","F9_03_PROG_DESC.1","F9_03_PROG_GRANT_FRGN_X"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201443229349200149","273551514","ST Francis Community Laboratory","2013","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201443229349200149_public.xml","St. Francis Community Laboratory (""St. Francis"") is a pathology laboratory located in Leon, Nicaragua. St. Francis provides diagnostic testing, screenings and biopsies to hospitals, physicians and community clinics in the Leon, Nicaragua area.Due to the current political regime in Nicaragua, laboratories performing such services are only allowed to be paid at the contractual rate established by the goverment. The goverment-mandated payment rates for pathology services are far below the actual cost of providing such services. Due to this discrepency, pathology laboratories are unable to provide much-needed medical tests to the people of Nicaragua without additional funding. In addition, the current turnaround times for some diagnostic tests are extremely long. St. Francis provides the people of Nicaragua with the necessary tests on an expediated basis.In addition, St. Francis provides funds pathology services to other non-profit organizations (such as Doctors Without Borders) that provide free or low cost health and medical services in and around Leon, Nicaragua.","0","19668",NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201300879349300235","226069078","UNITED WAY OF ESSEX AND WEST HUDSON","2011","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201300879349300235_public.xml","RESOURCE INVESTMENT:THIS PROGRAM IS RESPONSIBLE FOR DISTRIBUTING THE FINANCIAL RESOURCES LEVERAGED FROM CORPORATE AND PRIVATE DONATIONS. IT IS ADMINISTERED BY THE COMMUNITY IMPACT STAFF AND SEEKS TO CARRY OUT THE CONTRIBUTORS' INTENT BASED ON ADEQUATE KNOWLEDGE OF OUR SERVICE AREA'S PRIORITY NEEDS IN EDUCATION, HEALTH AND INCOME. THIS ALSO INCLUDES WORKING WITH AGENCIES TO HELP BUILD THEIR CAPACITY TO DELIVER EFFECTIVE SERVICES THROUGH OUR CENTER FOR EXCELLENCE TRAINING PROGRAM AS WELL AS ASSISTING SERVICE PROVIDERS IN RESPONDING TO COMMUNITY PROBLEMS.",NA,"78480","60000","INFORMATION & REFERRAL AND CRISIS RESPONSE & 2-1-1:THIS PROGRAM IS CHARGED WITH SERVING AS A CENTRAL SOURCE OF INFORMATION ABOUT HEALTH, WELFARE, BASIC NEEDS AND VOLUNTEER OPPORTUNITIES IN THE COMMUNITY. THROUGH INFORMATION AND REFERRAL, UNITED WAY PROVIDES A SITE WHERE INTERESTED, TRAINED INDIVIDUALS CAN CONNECT INDIVIDUALS TO A SERVICE OR OPPORTUNITY. THROUGH THE CRISIS RESPONSE UNIT, UNITED WAY CONTINUES TO WORK NOT ONLY WITH INDIVIDUALS WHO WERE AFFECTED BY 9/11, BUT ALSO WORKS WITH THE NON-PROFIT COMMUNITY AND GOVERNMENT AGENCIES TO ENSURE PREPAREDNESS TO RESPOND IN THE EVENT OF A FUTURE CRISIS.",NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201832899349200503","822969886","4 - EMPACT","2017","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201832899349200503_public.xml","THE GOAL OF THIS ORGANIZATION IS TO PROVIDE ASSISTANCE TO LOCAL CHARITABLE ORGANIZATIONS REGARDING FUNDRAISING EVENTS. ASSISTANCE WILL CONSIST OF DONATIONS, VOLUNTEER SERVICES, AND PLANNING/SET-UP OF EVENT VENUES.","30",NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931619349200438","831593634","WELLBEING INTERNATIONAL INC","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931619349200438_public.xml","WELLBEING INTERNATIONAL'S (WBI) EDUCATION AND POLICY INITIATIVES ARE BEING DELIVERED VIA ITS WEBSITE AND TWO NEWSLETTERS WBI NEWS (FEATURING TECHNICAL REPORTS) AND TALES OF WELLBEING (FEATURING BOOK REVIEWS AND STORIES OF PEOPLE AND ANIMALS INVOLVED IN WBI PROJECTS.)(DONATED PROFESSIONAL SERVICES - $32,098)","0","152",NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931619349200438","831593634","WELLBEING INTERNATIONAL INC","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931619349200438_public.xml","WBI SEEKS TO BUILD HEALTHY, HUMANE COMMUNITIES AND, TO THAT END, CHAMPIONS HUMANE DOG MANAGEMENT PROJECTS. SPECIFICALLY, WBI SUPPORTED HUMANE DOG MANAGEMENT IN COSTA RICA VIA VETERINARY CARE AND DOG STERILIZATION. IN 2018, WBI'S PARTNER ORGANIZATION (AHPPA) STERILIZED 21,900 DOGS AND CATS AND SUPPORTED OVER 9,000 CLIENTS NEEDING VETERINARY CARE FOR THEIR ANIMALS. (DONATED PROFESSIONAL SERVICES - $14,067)","0","80",NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931619349200438","831593634","WELLBEING INTERNATIONAL INC","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931619349200438_public.xml","WELLBEING INTERNATIONAL SEEKS TO SUPPORT PARTNERS WHO ARE ENGAGED IN DELIVERING PROJECTS CENTRAL TO WBI'S MISSION. (DONATED PROFESSIONAL SERVICES - $7,206)","0","41",NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931619349200438","831593634","WELLBEING INTERNATIONAL INC","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931619349200438_public.xml","WBI SEEKS TO PROMOTE SUSTAINABILITY FOR PEOPLE, ANIMALS, AND THE ENVIRONMENT. OUR PARTNER IN SOUTH AFRICA (GREYTON FARM ANIMAL SANCTUARY) SUPPORTS ENVIRONMENTAL AND HUMANE EDUCATION PROJECTS FOR CHILDREN AND ADULTS. IN 2018, WBI ALSO ADDRESSED CHALLENEGES INVOLVING HUMAN CONFLICTS WITH WILD BABOONS. WBI HAS ALSO BEGUN TO ENGAGE PARTNERS TO ADDRESS PLASTIC POLLUTION IN THE OCEANS AND THE THREAT THAT ROADS AND OTHER LINEAR INFRASTRUCTURE POSES TO WILDFIRE. (DONATED PROFESSIONAL SERVICES - $6,860)","0","40",NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921359349201242","412096774","ALS OF UTICA","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921359349201242_public.xml","THE ORGANIZATION WAS ABLE TO PROVIDE FINANCIAL SUPPORT AND SERVICES TO FAMILIES BATTLING ALS.","14034","4683",NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202022339349201157","833989717","Epic Institute","2019","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202022339349201157_public.xml","Working with the Rocky Mountain Institute and The Nature Conservancy, Epic Institute is developing tools to explore decarbonization pathways focused on a minimum set of proven actions currently scaling globally.","106522",NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201843189349200024","133095744","THE PILGRIMS FOUNDATION INC","2017","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201843189349200024_public.xml","ASSISTING THE PILGRIMS OF THE UNITED STATES IN PROMOTING THE UNDERSTAANDING BETWEEN THE UNITED STATES, UNITED KINGDOM, AND THE COMMONWEALTH.","0","21276",NA,NA,NA
