"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","SK_02_BOND_ISSUE_REFERENCE_NUM","SK_02_BOND_PROCEED_AMT_RETIRED","SK_02_BOND_PROCEED_AMT_DEFEASED","SK_02_BOND_PROCEED_TOT","SK_02_BOND_PROCEED_RESERVE_FUND","SK_02_BOND_PROCEED_INT_CAP","SK_02_BOND_PROCEED_REFUND_ESCROW","SK_02_BOND_PROCEED_ISSUANCE_COST","SK_02_BOND_PROCEED_CREDIT_ENHANC","SK_02_BOND_PROCEED_CAP_EXP_WORK","SK_02_BOND_PROCEED_CAP_EXP","SK_02_BOND_PROCEED_OTH_SPENT","SK_02_BOND_PROCEED_OTH_UNSPENT","SK_02_BOND_PROCEED_Y_COMPLETION.","RefundingTaxExemptBondsInd","RefundingTaxableBondsInd","SK_02_BOND_PROCEED_ALLOC_FINAL_X","SK_02_BOND_PROCEED_BOOK_RECORD_X"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202011209349301161","566058412","THE EDUCATIONAL FOUNDATION INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202011209349301161_public.xml","A","0","0","92000000","0","0","0","248280","0","0","0","77803706","13948014","2020","false","true","false","true"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201942739349300314","350931432","BHI Senior Living Inc","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201942739349300314_public.xml","A","11182707","0","28753388","2107800","0","0","565057","0","0","18492211","0","0","2013","false","false","true","true"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201942739349300314","350931432","BHI Senior Living Inc","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201942739349300314_public.xml","B","6915038","0","21687097","2634300","0","0","433742","0","0","18619055","0","0","2015","false","false","true","true"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201942739349300314","350931432","BHI Senior Living Inc","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201942739349300314_public.xml","C","3705000","34000000","0","0","0","34000000","0","0","0","0","0","0","2015","false","false","true","true"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201942739349300314","350931432","BHI Senior Living Inc","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201942739349300314_public.xml","D","3402487","0","34000000","0","0","0","694260","0","0","22594284","0","10845301",NA,"false","false","false","true"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201942739349300314","350931432","BHI Senior Living Inc","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201942739349300314_public.xml","A","0","0","98120000","12808522","0","98120000","597754","0","0","1462700","0","85537955","2015","false","false","false","true"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943179349309474","811244422","PROVIDENCE ST JOSEPH HEALTH","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943179349309474_public.xml","A",NA,NA,"126601436",NA,NA,NA,"1601436",NA,NA,NA,NA,"125000000","2012","0","0","1","1"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943179349309474","811244422","PROVIDENCE ST JOSEPH HEALTH","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943179349309474_public.xml","B","289195000","251010000","289195000",NA,NA,NA,"4582212",NA,NA,NA,"284612788",NA,"2012","1","0","1","1"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943179349309474","811244422","PROVIDENCE ST JOSEPH HEALTH","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943179349309474_public.xml","C",NA,NA,"145060500",NA,"13434940",NA,"2072500",NA,NA,NA,"129553060",NA,"2012","0","0","1","1"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943179349309474","811244422","PROVIDENCE ST JOSEPH HEALTH","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943179349309474_public.xml","D","79015000",NA,"426930280",NA,NA,NA,"4480280",NA,NA,"180000000","242450000",NA,"2009","1","0","1","1"
