"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","SI_03_GRANT_US_INDIV_TYPE_GRANT","SI_03_GRANT_US_INDIV_NUM","SI_03_GRANT_US_INDIV_AMT_CASH","SI_03_GRANT_US_INDIV_AMT_NONCSH","SI_03_GRANT_US_INDIV_MOV","SI_03_GRANT_US_INDIV_DESC_NONCSH"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202031359349301123","264496795","AMERICAS COMMITTEE FOR TREATMENT AND","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202031359349301123_public.xml","BEST ORAL PRESENTATION AWARD","1","2000",NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202031359349301123","264496795","AMERICAS COMMITTEE FOR TREATMENT AND","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202031359349301123_public.xml","EDUCATIONAL GRANT","80","48000",NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202031359349301123","264496795","AMERICAS COMMITTEE FOR TREATMENT AND","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202031359349301123_public.xml","BEST POSTER YOUNG INVESTIGATOR AWARD","2","3000",NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202031359349301123","264496795","AMERICAS COMMITTEE FOR TREATMENT AND","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202031359349301123_public.xml","SPEAKER AWARD","4","2000",NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943299349300739","480926092","NEOSHO COUNTY COMMUNITY COLLEGE","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943299349300739_public.xml","SCHOLARSHIPS","281","143191",NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202000909349300415","133538961","NEW VISIONS FOR PUBLIC SCHOOLS INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202000909349300415_public.xml","COLLEGE SCHOLARSHIPS","11","123946",NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202000909349300415","133538961","NEW VISIONS FOR PUBLIC SCHOOLS INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202000909349300415_public.xml","PARTICIPATION AWARDS CURRICULUM","18","20622",NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202000909349300415","133538961","NEW VISIONS FOR PUBLIC SCHOOLS INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202000909349300415_public.xml","MENTOR PARTICIPATION AWARD","8","3300",NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202000909349300415","133538961","NEW VISIONS FOR PUBLIC SCHOOLS INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202000909349300415_public.xml","COLLEGE ADVISORY BOARD","7","1863",NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202000909349300415","133538961","NEW VISIONS FOR PUBLIC SCHOOLS INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202000909349300415_public.xml","WORKSHOP PARTICIPATION AWARD","4","1704",NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202000909349300415","133538961","NEW VISIONS FOR PUBLIC SCHOOLS INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202000909349300415_public.xml","SCIENCE ADVISORY AWARD","3","1250",NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202000909349300415","133538961","NEW VISIONS FOR PUBLIC SCHOOLS INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202000909349300415_public.xml","LIBRARY AWARD","1","373",NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202000909349300415","133538961","NEW VISIONS FOR PUBLIC SCHOOLS INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202000909349300415_public.xml","ADVISORY BOARD","1","109",NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202031959349302488","465538235","IRVINE HEBREW DAY SCHOOL","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202031959349302488_public.xml","FINANCIAL AID (TUITION ASSISTANCE)","23",NA,"186625","FMV","DIRECT CREDIT TO STUDENT ACCOUNT"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201941699349301054","810483495","HANDS INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201941699349301054_public.xml","HANDS SCHOLARSHIP","6","4003",NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201941699349301054","810483495","HANDS INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201941699349301054_public.xml","FAMILY TUITION DISCOUNT",NA,"10316",NA,"FMV","DISCOUNT FOR QUALIFYING FAMILIES IS $0.32 PER HOUR"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202041979349303989","362166973","BETHANY FOR CHILDREN & FAMILIES","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202041979349303989_public.xml","GIVE KIDS A SMILE","179","56570",NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202041979349303989","362166973","BETHANY FOR CHILDREN & FAMILIES","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202041979349303989_public.xml","IOWA THERAPY & BHS","46","21333",NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202041979349303989","362166973","BETHANY FOR CHILDREN & FAMILIES","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202041979349303989_public.xml","WRAPAROUND","1","357",NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202041979349303989","362166973","BETHANY FOR CHILDREN & FAMILIES","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202041979349303989_public.xml","UNITED WAY - HUD - DAY TREATMENT - CA","137","103500",NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202041979349303989","362166973","BETHANY FOR CHILDREN & FAMILIES","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202041979349303989_public.xml","DEVELOPMENT","4000","20392",NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201941979349300524","812509039","GEMAH BET YISRAEL INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201941979349300524_public.xml","GRANTS TO NEEDY INDIVIDUA","27","390603",NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201920539349301167","161647966","Lake City Capri Theater","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201920539349301167_public.xml","Charitable Orginization","14","5750",NA,"FMV",NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201920539349301167","161647966","Lake City Capri Theater","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201920539349301167_public.xml","Scholarsips","9","5450",NA,"FMV",NA
