"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","SF_01_FRGN_REG_REGION","SF_01_FRGN_REG_NUM_OFFICE","SF_01_FRGN_REG_NUM_EMPL","SF_01_FRGN_REG_ACT","SF_01_FRGN_REG_SVC_SPECIFIC","SF_01_FRGN_REG_TOT_EXP"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202041369349303909","010880911","Ross Institute","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202041369349303909_public.xml","Europe (Including Iceland & Greenland)","0","0","Program Services","Field trips","271890"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202041369349303909","010880911","Ross Institute","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202041369349303909_public.xml","South Asia","0","0","Program Services","Field trips","239251"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202041369349303909","010880911","Ross Institute","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202041369349303909_public.xml","South America","0","0","Program Services","Field trips","230448"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202041369349303909","010880911","Ross Institute","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202041369349303909_public.xml","East Asia and the Pacific","0","0","Program Services","Field trips","62020"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913199349309531","521746234","Princeton Area Community Foundation Inc","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913199349309531_public.xml","Central America and the Caribbean",NA,NA,"Investments",NA,"18224143"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943199349320329","830506468","RWANDAN ORPHANS PROJECT","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943199349320329_public.xml","KIGALI, RWANDA","1","2","PROGRAM SERVICES","PROVIDE SHELTER, FOOD, EDUCATION, AND VOCATIONAL TRAINING TO OVER 100 ORPHANS. THE ORGANIZATION EMPLOYS 6 TEACHERS, 2 SOCIAL WORKERS, AND A REGISTERED NURSE TO PROVIDE CARE TO THE CHILDREN IN THE ORPHANAGE. IN ADDITION, THERE ARE TWO BOARD MEMBERS WHICH PROVIDE OVERSIGHT OF THE SERVICES PROVIDED AT THE ORPHANAGE. THE TWO BOARD MEMBERS WHO ARE WORKING WITH THE PROGRAM IN RWANDA ARE PROVIDED A SMALL STIPEND TO OFFSET THEIR HOUSING AND LIVING EXPENSES.","279928"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201923189349308722","411954568","NATIONAL ASSOCIATION OF PURCHASING CARD","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201923189349308722_public.xml","EUROPE","0","0","PROGRAM SERVICE","EDUCATIONAL CONFERENCE","29480"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201923189349308722","411954568","NATIONAL ASSOCIATION OF PURCHASING CARD","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201923189349308722_public.xml","CANADA","0","0","PROGRAM SERVICE","EDUCATIONAL CONFERENCE","22716"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943199349303899","463250017","BRAHMANANDA SARASWATI YAGYA FOUNDATION","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943199349303899_public.xml","SOUTH ASIA","1","10","PROGRAM SERVICES","EDUCATIONAL SUPPORT","3162817"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943199349303899","463250017","BRAHMANANDA SARASWATI YAGYA FOUNDATION","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943199349303899_public.xml","SOUTH ASIA","1","1","PROGRAM SERVICES","PROGRAM SUPPORT","1680000"
